freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
1500;-0.4494863139758702;7.690602841832952;110.9750728308549
1504;-0.4524636114319759;7.820724237024667;111.6501863529886
1508;-0.4554405716082615;7.953297140043092;112.3329653272799
1512;-0.4584179045347027;8.088406942855801;113.0236368541001
1516;-0.4613966824648291;8.226149071123617;113.7224353313484
1520;-0.4643783434898723;8.366629490928542;114.4296020982067
1524;-0.4673646921148266;8.509965183594684;115.1453850566537
1528;-0.4703578968237911;8.656284587119259;115.87003827484
1532;-0.4733604846919077;8.805728003208497;116.6038215765893
1536;-0.476375333126663;8.958447969332704;117.3470001213996
1540;-0.4794056588502829;9.114609595725961;118.099843979386
1544;-0.4824550042587935;9.274390867700387;118.8626277056174
1548;-0.4855272213168065;9.437982914110529;119.6356299182775
1552;-0.4886264531698354;9.605590243287088;120.4191328850248
1556;-0.4917571136736878;9.777430948174228;121.2134221218026
1560;-0.4949238650590906;9.953736882873974;122.0187860082323
1564;-0.4981315939628566;10.13475381319167;122.8355154235304
1568;-0.5013853860698729;10.32074154420054;123.663903406702
1572;-0.5046904996184796;10.51197402821119;124.5042448445353
1576;-0.5080523380287036;10.70873945690022;125.3568361906572
1580;-0.5114764219166765;10.91134034170534;126.2219752186721
1584;-0.5149683607591737;11.12009358690725;127.0999608120727
1588;-0.5185338244711759;11.33533056014582;127.9910927933714
1592;-0.5221785151546803;11.55739716539094;128.8956717945224
1596;-0.5259081392719673;11.78665392370896;129.8139991704352
1600;-0.5297283804861259;12.02347606738808;130.7463769570091
1604;-0.5336448734029966;12.26825365329562;131.6931078747788
1608;-0.5376631784353954;12.52139170157499;132.6544953789193
1612;-0.5417887579962301;12.78331036603283;133.6308437559577
1616;-0.5460269542128111;13.05444514284652;134.6224582671865
1620;-0.5503829683369065;13.33524712444103;135.6296453383461
1624;-0.5548618420085267;13.62618330566192;136.6527127947456
1628;-0.5594684405117337;13.92773694959358;137.6919701405352
1632;-0.5642074381430402;14.24040802066008;138.7477288803921
1636;-0.5690833057918645;14.5647136928672;139.8203028813859
1640;-0.5741003008140139;14.90118894133726;140.9100087722591
1644;-0.5792624592578564;15.2503872255219;142.0171663768198
1648;-0.5845735904836656;15.61288127275929;143.1420991775211
1652;-0.5900372741959136;15.98926397109239;144.2851348046985
1656;-0.5956568598892429;16.38014938053372;145.4466055462076
1660;-0.6014354686887381;16.78617387220947;146.626848871518
1664;-0.6073759975467092;17.2079974050712;147.8262079634866
1668;-0.6134811257397953;17.64630495011097;149.0450322502202
1672;-0.6197533235920488;18.10180807223239;150.2836779284982
1676;-0.6261948633333616;18.57524668016999;151.5425084692788
1680;-0.6328078319857595;19.06739095503292;152.8218950947331
1684;-0.6395941461556094;19.57904346825892;154.1222172151497
1688;-0.6465555685946633;20.11104149990424;155.4438628128287
1692;-0.6536937263807896;20.66425956837221;156.7872287587859
1696;-0.6610101305562035;21.23961218277707;158.1527210467016
1700;-0.6685061970507916;21.83805682923777;159.540754927024
1704;-0.676183268708702;22.46059720247382;160.9517549225378
1708;-0.6840426382280345;23.10828669408115;162.3861547049394
1712;-0.6920855718165754;23.78223214884792;163.8443968100629
1716;-0.7003133333622222;24.48359790043733;165.3269321673613
1720;-0.7087272089119928;25.21361009760847;166.8342194169805
1724;-0.7173285312524368;25.97356133198879;168.3667239853411
1728;-0.7261187043835449;26.76481557814298;169.9249168874595
1732;-0.7350992276793571;27.58881345630551;171.5092732213112
1736;-0.7442717195322137;28.44707782769785;173.1202703163249
1740;-0.7536379402813953;29.34121973167765;174.7583854945314
1744;-0.7631998142341746;30.27294467320345;176.4240933990115
1748;-0.7729594505947952;31.24405926802233;178.11786283992
1752;-0.7829191631270069;32.25647825170498;179.8401531036344
1756;-0.7930814883865666;33.31223185696403;181.5914096652625
1760;-0.8034492023736118;34.41347356164835;183.3720592389204
1764;-0.8140253354680699;35.56248820717681;185.1825040937522
1768;-0.8248131855273979;36.76170048398412;187.023115556541
1772;-0.8358163290420801;38.01368377655281;188.8942266139514
1776;-0.8470386302620176;39.32116935571788;190.7961235188471
1780;-0.8584842482252633;40.68705589992884;192.7290362957336
1784;-0.8701576416397973;42.11441931983993;194.6931280301474
1788;-0.8820635715884707;43.60652285171035;196.6884828156855
1792;-0.8942071020470352;45.16682737433664;198.7150922204311
1796;-0.9065935982256763;46.79900189130765;200.7728401216954
1800;-0.9192287227639446;48.50693410480203;202.861485744396
1804;-0.9321184298289287;50.29474098859968;204.9806447241521
1808;-0.9452689571862199;52.16677924584858;207.129768001295
1812;-0.9586868163313268;54.12765551092275;209.3081183370067
1816;-0.9723787807878301;56.1822361237312;211.5147442276454
1820;-0.9863518726953207;58.33565626845608;213.7484509788608
1824;-1.000613347826447;60.5933282260366;216.0077686875635
1828;-1.015170679187259;62.96094844004617;218.2909168682636
1832;-1.030031539368664;65.44450303793444;220.5957654515259
1836;-1.045203781829226;68.05027138308249;222.9197918777331
1840;-1.060695421300056;70.7848271567222;225.2600340104795
1844;-1.076514613512545;73.65503638168784;227.6130386027932
1848;-1.092669634456718;76.66805170127502;229.9748050684713
1852;-1.109168859384915;79.83130211562417;232.3407243429841
1856;-1.12602074177976;83.15247725460274;234.7055126673958
1860;-1.143233792508693;86.63950513021159;237.0631401987062
1864;-1.160816559388816;90.30052216380567;239.4067544460915
1868;-1.178777607385914;94.14383412532348;241.7285986604008
1872;-1.197125499669921;98.17786645617232;244.0199254708432
1876;-1.215868779746264;102.4111022783578;246.2709062752078
1880;-1.235015954878314;106.852006226454;248.4705371566781
1884;-1.254575481010208;111.5089320843735;250.6065424295632
1888;-1.274555749392759;116.3900120778005;252.6652773169944
1892;-1.294965075106753;121.5030255807724;254.6316317437722
1896;-1.315811687668753;126.8552449612166;256.4889377939293
1900;-1.337103723893889;132.4532563400703;258.218884039477
1904;-1.35884922317906;138.3027532019414;259.8014406941472
1908;-1.381056125357175;144.4083011079846;261.2148003779913
1912;-1.403732271259888;150.7730722644465;262.4353401804881
1916;-1.426885406112088;157.3985494385307;263.4376116554022
1920;-1.450523185866377;164.2841997339046;264.1943663287807
1924;-1.474653186570064;171.4271200875986;264.6766251929007
1928;-1.499282916840844;178.8216580681125;264.8538014128558
1932;-1.524419833510269;186.4590136679782;264.6938859840712
1936;-1.550071360476711;194.3268302975441;264.1637062192059
1940;-1.576244910791438;202.4087860713259;263.2292665596339
1944;-1.602947911983048;210.684199659461;261.8561801315028
1948;-1.630187834606916;219.1276683209199;260.0101975249306
1952;-1.657972223987508;227.7087590380537;257.657836304899
1956;-1.686308735102302;236.3917766523134;254.7671106382471
1960;-1.715205170537264;245.1356351987404;251.308355084777
1964;-1.744669521425155;253.8938598273084;247.2551300981781
1968;-1.77471001125925;262.6147463180012;242.5851893015818
1972;-1.805335142457069;271.2417027864955;237.2814805034471
1976;-1.836553745531598;279.7137933505529;231.3331442537547
1980;-1.86837503071015;287.9664960443984;224.7364662462377
1984;-1.90080864182599;295.9326771227142;217.4957339360016
1988;-1.933864712292532;303.5437713901528;209.6239443233833
1992;-1.967553922957183;310.7311439906558;201.1433098721703
1996;-2.001887561619553;317.4275942248459;192.0855137166493
2000;-2.036877583988833;323.5689477779437;182.4916740602581
2004;-2.072536675846921;329.0956717688681;172.4119908952181
2008;-2.108878316177112;333.9544388104198;161.9050652294598
2012;-2.145916841014772;338.0995631145477;151.0369006747608
2016;-2.183667507773923;341.4942344477726;139.8796178286346
2020;-2.222146559805104;344.1114846645031;128.5099313804034
2024;-2.261371290942605;345.9348361103857;117.0074562692215
2028;-2.301360109805714;346.958600168881;105.4529207622095
2032;-2.34213260362712;347.1878158253898;93.92636977981806
2036;-2.383709601393369;346.6378402221443;82.50544066539317
2040;-2.426113236096662;345.3336236275841;71.26378615538862
2044;-2.469367005914563;343.3087181765356;60.26970655730264
2048;-2.513495834154281;340.6040818009673;49.5850366312696
2052;-2.558526127820691;337.26674527374;39.26431424003855
2056;-2.604485834692782;333.3484112228276;29.35423934273589
2060;-2.651404498820871;328.9040499356692;19.89341499998204
2064;-2.699313314386984;323.9905487979004;10.91234797227827
2068;-2.74824517790303;318.6654615743636;2.433675983445708
2072;-2.798234738755509;312.9858917636236;-5.527417951025361
2076;-2.849318448141689;307.0075321414096;-12.96264672711525
2080;-2.90153460647924;300.7838713233477;-19.86995828285057
2084;-2.954923409410534;294.3655684060738;-26.25281232618763
2088;-3.009526992562731;287.7999888797635;-32.11942982297273
2092;-3.065389475266005;281.1308891762139;-37.482044841659
2096;-3.122557003473747;274.3982333518485;-42.35618235853492
2100;-3.181077792171816;267.6381232892759;-46.75997971189577
2104;-3.241002167606834;260.882823137589;-50.7135639205097
2108;-3.302382609707357;254.1608591727145;-54.23849228232481
2112;-3.365273795116734;247.4971775246543;-57.35725966067939
2116;-3.429732641301038;240.9133440012831;-60.09287267411084
2120;-3.495818352242007;234.4277722978748;-62.46848859453447
2124;-3.56359246627144;228.0559690291017;-64.50711504772015
2128;-3.633118906652049;221.810786117095;-66.23136549823953
2132;-3.704464035559453;215.7026730213086;-67.66326487945163
2136;-3.777696712171954;209.7399230464527;-68.8240994916424
2140;-3.852888355629276;203.9289094858919;-69.73430534164831
2144;-3.930113013679085;198.2743086434238;-70.41338935159243
2148;-4.009447437892166;192.77930783491;-70.87987825353093
2152;-4.090971166393485;187.4457973210288;-71.15129045553334
2156;-4.174766615129409;182.2745457867178;-71.24412667068086
2160;-4.26091917877083;177.2653594872585;-71.17387561232138
2164;-4.349517342440721;172.4172255507121;-70.9550315547736
2168;-4.440652805552729;167.7284401855753;-70.60112102403205
2172;-4.534420619158216;163.1967227126385;-70.12473630920401
2176;-4.630919338323565;158.8193164401063;-69.53757386815491
2180;-4.730251191200209;154.5930774472514;-68.85047603896221
2184;-4.832522266610507;150.5145523476789;-68.07347476336032
2188;-4.937842722154556;146.5800460798017;-67.21583628187688
2192;-5.046327015051975;142.7856807281646;-66.28610597612847
2196;-5.158094158171642;139.1274463218455;-65.2921527155363
2200;-5.27326800397672;135.6012444906929;-64.24121221741743
2204;-5.391977559428219;132.2029257907126;-63.13992905481648
2208;-5.514357335254233;128.9283214395488;-61.99439704914901
2212;-5.640547733412324;125.7732701338498;-60.81019786805258
2216;-5.770695477059395;122.7336405538986;-59.59243771574177
2220;-5.90495408790667;119.8053500981983;-58.34578205629924
2224;-6.043484416493772;116.984380332299;-57.07448835197756
2228;-6.186455231677694;114.2667895823561;-55.7824368307723
2232;-6.334043876524095;111.648723054762;-54.4731593219101
2236;-6.486436998829081;109.1264208186497;-53.14986621596412
2240;-6.643831365721699;106.6962239479105;-51.81547161925195
2244;-6.806434773234371;104.3545790833691;-50.47261678101331
2248;-6.974467063422052;102.0980416436369;-49.1236918774615
2252;-7.148161263616355;99.92327788456529;-47.77085623982207
2256;-7.327764864778543;97.82706598190018;-46.41605711452232
2260;-7.513541258748119;95.80629628931914;-45.06104704320501
2264;-7.705771357567422;93.85797090427802;-43.70739994861369
2268;-7.904755422120656;91.97920265669096;-42.35652600992506
2272;-8.110815132211849;90.16721362017222;-41.00968540802681
2276;-8.324295936110097;88.41933323216064;-39.66800101776236
2280;-8.545569724758209;86.73299609748013;-38.33247012042225
2284;-8.775037884576408;85.10573953960611;-37.00397520588837
2288;-9.013134793491361;83.53520095490673;-35.68329392991063
2292;-9.260331837982129;82.01911501727449;-34.3711082880946
2296;-9.517142045206876;80.55531077370379;-33.06801306435042
2300;-9.784125444493924;79.14170866539568;-31.77452360783201
2304;-10.06189529773613;77.77631750376543;-30.49108298881929
2308;-10.35112536994534;76.45723142619612;-29.21806858056791
2312;-10.65255845127463;75.18262685244882;-27.95579811089372
2316;-10.96701639267837;73.95075945921521;-26.7045352241724
2320;-11.29541198233764;72.75996118733524;-25.46449459152453
2324;-11.6387630734123;71.60863729363427;-24.23584660421507
2328;-11.99820948144457;70.49526345710777;-23.01872168272678
2332;-12.37503330966248;69.41838294726404;-21.81321423156439
2336;-12.77068354298515;68.37660386078345;-20.61938626759363
2340;-13.18680599061859;67.36859643122199;-19.43727074762883
2344;-13.62527997099024;66.39309041527322;-18.26687461902356
2348;-14.08826354469223;65.44887255805293;-17.10818161520725
2352;-14.57824963927759;64.53478413898125;-15.9611548164156
2356;-15.09813610437396;63.64971859908217;-14.82573899429904
2360;-15.65131360867263;62.79261924987674;-13.70186275763351
2364;-16.2417763270799;61.96247706351473;-12.58944051500723
2368;-16.87426144033644;61.15832854333588;-11.48837426910999
2372;-17.55442415380502;60.37925367368667;-10.39855525608333
2376;-18.28905403249474;59.62437394751052;-9.319865442323223
2380;-19.08633274778518;58.89285046998965;-8.252178890128105
2384;-19.95611448556275;58.18388213632061;-7.195363002665789
2388;-20.91015635810905;57.49670388155651;-6.149279657879446
2392;-21.9620788240242;56.8305850003417;-5.113786240170128
2396;-23.12643765090851;56.18482753428428;-4.08873657795824
2400;-24.41521495532113;55.5587647246636;-3.073981794559191
2404;-25.82722307993372;54.95175952814932;-2.06937107918387
2408;-27.31947865710493;54.36320319320396;-1.074752384300864
2412;-28.74233665386775;53.79251389485736;-0.08997305506790414
2416;-29.75587332883669;53.23913542557736;0.8851196039485189
2420;-29.92755870947486;52.7025359400013;1.850677819997629
2424;-29.17315611418283;52.182206751358;2.806852896958863
2428;-27.87014029989607;51.67766117746795;3.753794809775432
2432;-26.4153384831728;51.18843343429629;4.691651844883214
2436;-25.0101610830563;50.71407757510559;5.620570283336654
2440;-23.72146483326387;50.25416647335142;6.540694123622929
2444;-22.5589540885717;49.8082908475519;7.452164841428385
2448;-21.51301911414063;49.37605832646267;8.355121183860977
2452;-20.56930357730391;48.95709255298524;9.249698995857321
2456;-19.71370948653458;48.5510323253408;10.13603107670215
2460;-18.93385871639445;48.15753077414094;11.01424706476594
2464;-18.21931011096046;47.77625457409369;11.88447334872924
2468;-17.56137758810974;47.40688318918112;12.74683300370219
2472;-16.95285324310617;47.04910815025085;13.60144575077441
2476;-16.38773912297576;46.70263236405959;14.44842793863521
2480;-15.86101764483705;46.36716945290771;15.28789254599895
2484;-15.36846434249919;46.0424431240949;16.11994920364715
2488;-14.90649814987827;45.72818656852005;16.94470423495867
